Industry,Funding Stage,Product Stage,Backend Tech Stack,Frontend Tech,Compute Platform,AMD Platform Used,Primary Model Used,Founded Year,Total Funding ($),Team Size,Monthly Recurring Revenue ($),Valuation ($),Customer Base,"Fireworks AI Credits Used ($, cumulative)",Social Media Followers,Success Score
Robotics & Vision AI,Bootstrapped,MVP,"Java, Quarkus",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2026,72.0,1,0.8,1100.0,87,0.47,449,3.9
Creative & Media AI,Bootstrapped,MVP,"Node.js, NestJS",Svelte,Fireworks AI API,—,Kimi K2.6,2025,20.0,1,0.9,500.0,24,127.19,451,8.9
EdTech AI,Bootstrapped,Prototype,"Java, Micronaut",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 8B,2023,32.0,1,2.5,500.0,36,0.0,2292,5.9
HealthTech AI,Pre-Seed,Idea / Concept,"Node.js, NestJS",Svelte,Fireworks AI API,—,Kimi K2.5,2023,690.0,5,9.2,7800.0,211,339.28,2781,10.0
Enterprise SaaS,Pre-Seed,Private Beta,"Node.js, Express",Vue,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 70B,2025,569.0,3,33.0,5300.0,100,0.0,1968,7.8
Creative & Media AI,Bootstrapped,Idea / Concept,"Node.js, Express",React,Fireworks AI API,—,DeepSeek V4 Pro,2025,53.0,1,1.2,5200.0,23,102.07,1143,7.8
Cybersecurity AI,Series A,Prototype,"Java, Spring Boot + Kafka",Next.js,Own AMD GPU cluster,ROCm on MI300X cluster,Qwen2.5 32B,2024,58590.0,14,3624.4,222100.0,273,0.0,1548,10.0
Enterprise SaaS,Pre-Seed,MVP,"Node.js, GraphQL",React Native,Fireworks AI API,—,DeepSeek V4 Flash,2024,202.0,2,11.6,4400.0,30,13.19,1940,5.5
Gaming AI,Pre-Seed,Prototype,"Java, Quarkus",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2026,570.0,5,7.2,4800.0,23,16.7,689,6.3
HealthTech AI,Bootstrapped,Prototype,"Java, Micronaut",Flutter (Dart),Fireworks AI API,—,Kimi K2.5,2024,3.0,3,0.1,3300.0,12,151.51,834,9.4
Creative & Media AI,Bootstrapped,Private Beta,"Java, Quarkus",Next.js,Fireworks AI API,—,Kimi K2.5,2025,73.0,1,9.8,1100.0,66,17.38,11656,6.3
FinTech AI,Bootstrapped,MVP,"Node.js, NestJS",React,Fireworks AI API,—,Kimi K2.6,2025,77.0,1,4.2,2000.0,32,19.1,1485,5.0
Cybersecurity AI,Seed,Prototype,"TypeScript, Fastify",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2026,17317.0,10,588.2,73200.0,146,15.1,1884,10.0
EdTech AI,Bootstrapped,Public Beta,"Java, Spring Boot",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2024,52.0,3,1.5,1500.0,100,15.4,341,5.0
HealthTech AI,Series A,Idea / Concept,"Node.js, Express",Svelte,Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2024,29290.0,17,1800.5,222300.0,56,0.0,71,10.0
E-commerce AI,Angel,MVP,"Node.js, GraphQL",React Native,Fireworks AI API,—,MiniMax-M2.7,2026,766.0,5,27.4,6500.0,5,1.49,15044,7.7
E-commerce AI,Angel,Private Beta,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2023,1222.0,4,10.7,13200.0,73,557.09,175,10.0
Robotics & Vision AI,Bootstrapped,Launched,"Node.js, Express",Vue,Fireworks AI API,—,MiniMax-M2.7,2023,144.0,3,1.9,3700.0,174,27.06,777,8.0
HealthTech AI,Bootstrapped,Public Beta,"Java, Spring Boot",React,Own AMD GPU cluster,ROCm on MI250 cluster,Gemma 2 9B,2025,46.0,3,0.3,1000.0,75,0.0,2657,7.0
Enterprise SaaS,Angel,MVP,"Node.js, Express",Next.js,Own AMD GPU cluster,ROCm on MI250 cluster,SDXL Turbo,2026,1105.0,4,15.0,7700.0,420,0.0,1318,10.0
EdTech AI,Seed,Prototype,"Java, Micronaut",Vue,Fireworks AI API,—,MiniMax-M2.7,2023,12135.0,9,55.8,71200.0,140,80.62,2336,10.0
Logistics & Supply Chain AI,Pre-Seed,Idea / Concept,"Java, Spring Boot",React,Fireworks AI API,—,GLM 5.1,2025,1489.0,4,92.5,13300.0,2,96.65,4934,10.0
Gaming AI,Angel,Launched,"Java, Quarkus",Svelte,Fireworks AI API,—,DeepSeek V4 Pro,2024,550.0,2,5.0,6300.0,28,209.23,477,9.5
Enterprise SaaS,Angel,Private Beta,"Java, Spring Boot + Kafka",Next.js,Fireworks AI API,—,Kimi K2.5,2024,2409.0,6,6.7,20000.0,71,300.42,24327,10.0
Logistics & Supply Chain AI,Bootstrapped,Idea / Concept,"Java, Quarkus",React Native,Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 70B,2024,10.0,2,0.5,600.0,30,0.0,3507,5.8
Enterprise SaaS,Seed,Private Beta,"Java, Quarkus",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2024,7443.0,7,647.7,49100.0,68,86.48,285,10.0
Cybersecurity AI,Bootstrapped,Prototype,"Node.js, Express",Svelte,Fireworks AI API,—,Kimi K2.6,2025,98.0,3,0.5,3600.0,82,141.98,3191,10.0
Climate & Energy AI,Angel,MVP,"Node.js, GraphQL",Vue,Fireworks AI API,—,GLM 5.1,2026,1645.0,3,39.5,17600.0,161,8.38,4921,10.0
Robotics & Vision AI,Bootstrapped,Public Beta,"Node.js, GraphQL",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Whisper Large v3,2025,23.0,1,0.3,500.0,3,0.0,945,4.5
Legal & Compliance AI,Angel,MVP,"Node.js, NestJS",Next.js,Fireworks AI API,—,Kimi K2.6,2025,469.0,4,24.0,4400.0,80,223.27,6622,10.0
Voice & Audio AI,Bootstrapped,Idea / Concept,"TypeScript, Fastify",Svelte,Fireworks AI API,—,DeepSeek V4 Pro,2024,83.0,2,1.1,4200.0,34,348.81,1788,9.6
Robotics & Vision AI,Seed,Private Beta,"Java, Spring Boot + Kafka",Flutter (Dart),Own AMD GPU cluster,AMD Radeon PRO W7900,Gemma 2 9B,2026,19052.0,8,1805.0,139000.0,89,0.0,1643,10.0
Cybersecurity AI,Bootstrapped,Private Beta,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2024,29.0,3,0.1,2000.0,9,110.38,7730,10.0
Enterprise SaaS,Pre-Seed,Prototype,"Node.js, Express",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2026,726.0,4,6.2,9400.0,25,4.41,4949,6.4
E-commerce AI,Series A,Prototype,"Java, Micronaut",Next.js,Own AMD GPU cluster,ROCm on MI250 cluster,Mistral 7B,2024,29489.0,12,932.1,125200.0,218,0.0,465,10.0
Legal & Compliance AI,Bootstrapped,Private Beta,"Node.js, Express",React Native,Own AMD GPU cluster,AMD Radeon PRO W7900,SDXL Turbo,2024,112.0,2,5.7,1800.0,23,0.0,94,5.6
E-commerce AI,Pre-Seed,Private Beta,"TypeScript, Fastify",React Native,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2023,894.0,4,1.0,12000.0,72,0.0,1654,7.9
Voice & Audio AI,Bootstrapped,Launched,"Node.js, GraphQL",React,Fireworks AI API,—,MiniMax-M2.7,2023,18.0,1,0.4,500.0,0,48.86,3480,5.2
E-commerce AI,Bootstrapped,MVP,"Node.js, NestJS",React,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 70B,2023,25.0,1,2.5,3000.0,62,0.0,1662,6.2
Logistics & Supply Chain AI,Bootstrapped,Private Beta,"Java, Spring Boot",React,Fireworks AI API,—,Kimi K2.6,2023,111.0,3,14.6,3900.0,95,443.1,3936,10.0
Climate & Energy AI,Series A,Private Beta,"Node.js, NestJS",Vue,Fireworks AI API,—,DeepSeek V4 Flash,2023,28617.0,9,552.4,256800.0,63,84.02,1226,10.0
Enterprise SaaS,Pre-Seed,MVP,"TypeScript, Fastify",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,Mixtral 8x7B,2023,271.0,3,4.6,2600.0,227,0.0,186,9.6
HealthTech AI,Series A,Idea / Concept,"TypeScript, Fastify",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,SDXL Turbo,2024,72646.0,15,3231.8,583100.0,10,0.0,1352,10.0
Legal & Compliance AI,Angel,Prototype,"Java, Quarkus",React Native,Fireworks AI API,—,DeepSeek V4 Flash,2025,2298.0,6,20.1,18800.0,52,3.97,554,8.4
Enterprise SaaS,Bootstrapped,Public Beta,"TypeScript, Fastify",React,Own AMD GPU cluster,AMD Instinct MI325X,Stable Diffusion XL,2024,109.0,3,2.7,2700.0,57,0.0,949,6.5
Enterprise SaaS,Pre-Seed,Launched,"Node.js, Express",React,Fireworks AI API,—,Kimi K2.6,2024,1283.0,4,73.7,6100.0,91,377.48,2026,10.0
Enterprise SaaS,Bootstrapped,MVP,"Node.js, GraphQL",React,Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2024,91.0,3,3.5,4800.0,37,0.0,6108,8.4
E-commerce AI,Pre-Seed,Prototype,"Java, Micronaut",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2025,1399.0,3,128.3,15000.0,38,8.74,4812,9.0
Cybersecurity AI,Pre-Seed,MVP,"Node.js, Express",Vue,Fireworks AI API,—,Kimi K2.6,2026,1118.0,4,57.5,14400.0,44,5.07,1084,7.5
Legal & Compliance AI,Bootstrapped,Prototype,"Node.js, NestJS",React,Fireworks AI API,—,Kimi K2.6,2026,14.0,3,0.1,1800.0,23,13.0,1436,4.3
Legal & Compliance AI,Seed,Idea / Concept,"Java, Quarkus",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2025,6793.0,9,391.3,60500.0,137,20.29,1744,10.0
Creative & Media AI,Angel,MVP,"Java, Quarkus",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2024,802.0,2,32.2,4300.0,29,30.23,2434,7.2
Developer Tools,Bootstrapped,Prototype,"Java, Spring Boot",React Native,Own AMD GPU cluster,AMD Radeon PRO W7900,CodeLlama 34B,2024,50.0,2,0.1,1100.0,94,0.0,2464,5.8
EdTech AI,Series A,Public Beta,"TypeScript, Fastify",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2024,57756.0,13,1138.5,518600.0,16,1311.1,3445,10.0
Legal & Compliance AI,Bootstrapped,Private Beta,"Java, Micronaut",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2024,51.0,2,0.9,4500.0,6,17.54,5707,5.4
Creative & Media AI,Seed,Public Beta,"Node.js, NestJS",React Native,Fireworks AI API,—,Kimi K2.6,2025,10099.0,5,453.5,46100.0,318,238.41,1105,10.0
Voice & Audio AI,Pre-Seed,Private Beta,"Node.js, GraphQL",Svelte,Own AMD GPU cluster,ROCm on MI250 cluster,Stable Diffusion XL,2025,1126.0,3,34.6,11100.0,4,0.0,2360,7.6
HealthTech AI,Series A,Private Beta,"Node.js, NestJS",Vue,Fireworks AI API,—,Kimi K2.6,2026,45456.0,13,1327.7,269800.0,149,72.48,616,10.0
Enterprise SaaS,Bootstrapped,Public Beta,"Node.js, GraphQL",React Native,Own AMD GPU cluster,AMD Instinct MI325X,Llama 3.1 8B,2026,88.0,2,3.7,1500.0,2,0.0,2966,5.7
Legal & Compliance AI,Series A,MVP,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2025,75535.0,14,242.5,292100.0,110,168.49,1328,10.0
Robotics & Vision AI,Pre-Seed,Prototype,"Node.js, Express",Svelte,Fireworks AI API,—,DeepSeek V4 Flash,2025,735.0,3,19.8,6900.0,226,13.51,5215,9.0
Gaming AI,Pre-Seed,Private Beta,"Node.js, NestJS",Next.js,Fireworks AI API,—,Kimi K2.6,2025,393.0,4,4.2,1800.0,10,42.1,1612,6.6
Enterprise SaaS,Angel,MVP,"Node.js, NestJS",React,Fireworks AI API,—,Kimi K2.6,2026,1032.0,5,31.1,5500.0,57,8.08,1251,7.0
Enterprise SaaS,Bootstrapped,Private Beta,"Java, Spring Boot",React,Fireworks AI API,—,MiniMax-M2.7,2023,3.0,1,0.3,2800.0,2,8.34,134,3.6
Cybersecurity AI,Seed,MVP,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,DeepSeek V4 Flash,2025,16450.0,3,599.4,58000.0,16,20.63,96,10.0
FinTech AI,Bootstrapped,MVP,"Node.js, Express",React,Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2026,149.0,1,2.7,3500.0,22,0.0,82,6.3
Robotics & Vision AI,Angel,Private Beta,"Node.js, Express",React,Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2025,2797.0,2,27.3,23700.0,53,0.0,1210,10.0
Voice & Audio AI,Angel,Idea / Concept,"Java, Micronaut",React,Own AMD GPU cluster,AMD Radeon PRO W7900,CodeLlama 34B,2026,2202.0,6,35.9,19700.0,54,0.0,8870,10.0
Enterprise SaaS,Seed,Idea / Concept,"Java, Quarkus",Vue,Fireworks AI API,—,GLM 5.1,2024,7876.0,5,69.9,63400.0,48,59.4,8487,10.0
Robotics & Vision AI,Seed,MVP,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2023,12930.0,3,464.8,63800.0,18,783.68,3053,10.0
HealthTech AI,Bootstrapped,Private Beta,"Java, Spring Boot + Kafka",React Native,Own AMD GPU cluster,ROCm on MI250 cluster,Stable Diffusion XL,2025,135.0,2,7.5,2200.0,74,0.0,1280,6.4
Cybersecurity AI,Bootstrapped,Private Beta,"Java, Spring Boot",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI325X,Whisper Large v3,2023,94.0,1,9.6,4500.0,20,0.0,4295,6.9
Enterprise SaaS,Angel,MVP,"Node.js, Express",Vue,Fireworks AI API,—,MiniMax-M2.7,2023,810.0,4,21.1,4600.0,54,20.42,8238,7.0
E-commerce AI,Seed,MVP,"TypeScript, Fastify",Next.js,Fireworks AI API,—,GLM 5.1,2026,9236.0,8,906.0,41100.0,124,12.41,13390,10.0
FinTech AI,Pre-Seed,Private Beta,"Java, Spring Boot + Kafka",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2023,1455.0,3,39.2,12200.0,26,44.82,10071,9.3
E-commerce AI,Seed,MVP,"Java, Micronaut",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,CodeLlama 34B,2025,11055.0,10,909.1,65000.0,116,0.0,1095,10.0
Legal & Compliance AI,Seed,Launched,"Node.js, GraphQL",React,Fireworks AI API,—,Kimi K2.5,2025,9417.0,3,122.0,36500.0,4,90.11,3412,10.0
Gaming AI,Seed,MVP,"Node.js, Express",React,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 8B,2026,13131.0,6,740.1,70400.0,191,0.0,37,10.0
Cybersecurity AI,Angel,Launched,"Node.js, NestJS",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2023,1520.0,3,104.0,12600.0,36,673.79,3818,10.0
Enterprise SaaS,Pre-Seed,MVP,"TypeScript, Fastify",Vue,Fireworks AI API,—,GLM 5.1,2025,1402.0,4,13.3,15700.0,75,123.05,8651,10.0
Creative & Media AI,Pre-Seed,Private Beta,"Node.js, Express",React Native,Own AMD GPU cluster,AMD Radeon PRO W7900,Mistral 7B,2024,1387.0,4,319.2,12600.0,73,0.0,3702,10.0
Enterprise SaaS,Bootstrapped,Private Beta,"TypeScript, Fastify",React Native,Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 8B,2023,149.0,2,4.9,3800.0,7,0.0,344,5.2
Developer Tools,Angel,Private Beta,"TypeScript, Fastify",React,Fireworks AI API,—,MiniMax-M2.7,2023,402.0,3,31.1,4900.0,158,29.26,156,10.0
Cybersecurity AI,Bootstrapped,Private Beta,"Node.js, NestJS",React,Own AMD GPU cluster,AMD Radeon PRO W7900,Stable Diffusion XL,2024,37.0,1,0.3,1400.0,52,0.0,1147,5.0
Developer Tools,Pre-Seed,MVP,"TypeScript, Fastify",React Native,Fireworks AI API,—,GLM 5.1,2024,954.0,4,2.5,7000.0,7,189.32,2524,10.0
Gaming AI,Bootstrapped,MVP,"Node.js, NestJS",React,Fireworks AI API,—,GLM 5.1,2026,96.0,3,9.0,900.0,65,5.37,8830,6.4
HealthTech AI,Bootstrapped,Launched,"TypeScript, Fastify",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2023,100.0,2,30.9,3800.0,15,32.04,501,6.0
Robotics & Vision AI,Series A,MVP,"Java, Micronaut",React,Own AMD GPU cluster,ROCm on MI250 cluster,Llama 3.1 70B,2025,59404.0,14,1111.2,538000.0,115,0.0,652,10.0
Creative & Media AI,Pre-Seed,Prototype,"Node.js, Express",Svelte,Own AMD GPU cluster,AMD Instinct MI325X,Mixtral 8x7B,2023,601.0,5,24.9,7400.0,181,0.0,3437,10.0
Logistics & Supply Chain AI,Angel,Launched,"Java, Quarkus",Next.js,Fireworks AI API,—,Kimi K2.6,2024,538.0,4,12.5,6000.0,3,367.69,8849,10.0
FinTech AI,Pre-Seed,Launched,"Java, Spring Boot + Kafka",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2024,1381.0,5,155.6,8600.0,142,488.23,991,10.0
Climate & Energy AI,Bootstrapped,Private Beta,"Node.js, NestJS",Next.js,Own AMD GPU cluster,AMD Radeon PRO W7900,Llama 3.1 70B,2024,0.0,2,0.0,700.0,48,0.0,1353,6.2
EdTech AI,Seed,MVP,"Node.js, Express",Svelte,Own AMD GPU cluster,AMD Instinct MI325X,Mixtral 8x7B,2023,16233.0,8,38.7,145900.0,50,0.0,3194,10.0
Voice & Audio AI,Bootstrapped,MVP,"Node.js, Express",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI325X,Gemma 2 9B,2026,143.0,2,1.5,2900.0,127,0.0,1003,8.3
Climate & Energy AI,Angel,Launched,"Java, Spring Boot",Vue,Fireworks AI API,—,DeepSeek V4 Pro,2024,2838.0,3,28.6,16300.0,94,27.52,990,10.0
Robotics & Vision AI,Pre-Seed,Public Beta,"Java, Micronaut",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 70B,2023,1412.0,3,49.3,11500.0,13,0.0,877,7.8
Gaming AI,Seed,MVP,"Java, Micronaut",React,Fireworks AI API,—,DeepSeek V4 Pro,2025,3126.0,8,312.3,25000.0,78,550.89,71,10.0
Voice & Audio AI,Bootstrapped,MVP,"Java, Spring Boot",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI300X,Whisper Large v3,2025,37.0,2,0.0,600.0,12,0.0,3472,5.7
Voice & Audio AI,Bootstrapped,MVP,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,DeepSeek V4 Pro,2024,69.0,1,9.2,500.0,13,57.87,2176,5.7
Logistics & Supply Chain AI,Pre-Seed,Public Beta,"TypeScript, Fastify",Svelte,Fireworks AI API,—,Kimi K2.6,2025,1103.0,3,80.8,10500.0,29,115.01,1865,10.0
Developer Tools,Seed,Prototype,"Java, Spring Boot + Kafka",Vue,Fireworks AI API,—,DeepSeek V4 Pro,2026,19043.0,10,281.1,99900.0,48,15.09,474,10.0
Legal & Compliance AI,Pre-Seed,Launched,"Node.js, Express",React,Own AMD GPU cluster,AMD Instinct MI325X,Whisper Large v3,2026,1353.0,4,34.6,14400.0,70,0.0,3361,9.4
Logistics & Supply Chain AI,Pre-Seed,Private Beta,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,MiniMax-M2.7,2025,1411.0,3,214.0,8700.0,1,13.19,1814,7.0
Creative & Media AI,Pre-Seed,MVP,"Java, Quarkus",Vue,Fireworks AI API,—,GPT-OSS-120B (high),2025,340.0,4,0.7,3600.0,19,10.53,493,5.6
Creative & Media AI,Bootstrapped,Public Beta,"Java, Spring Boot",Flutter (Dart),Fireworks AI API,—,GPT-OSS-120B (high),2026,86.0,2,15.4,4100.0,10,3.13,1779,4.0
Cybersecurity AI,Angel,Launched,"Node.js, NestJS",Vue,Own AMD GPU cluster,AMD Instinct MI250,Mistral 7B,2025,2979.0,6,113.4,11400.0,58,0.0,1678,10.0
Robotics & Vision AI,Bootstrapped,Prototype,"Java, Spring Boot",Svelte,Fireworks AI API,—,Kimi K2.5,2026,125.0,1,8.1,1200.0,6,4.37,4066,4.3
Climate & Energy AI,Bootstrapped,Idea / Concept,"Java, Spring Boot + Kafka",Svelte,Own AMD GPU cluster,AMD Radeon PRO W7900,Gemma 2 9B,2025,55.0,1,5.6,5000.0,10,0.0,1676,5.5
Cybersecurity AI,Seed,Public Beta,"Node.js, GraphQL",Svelte,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 8B,2025,14249.0,4,85.8,93200.0,32,0.0,1179,10.0
HealthTech AI,Seed,Public Beta,"Node.js, NestJS",Flutter (Dart),Own AMD GPU cluster,AMD Instinct MI250,CodeLlama 34B,2025,17307.0,7,691.1,122100.0,80,0.0,4154,10.0
Developer Tools,Angel,Prototype,"Java, Spring Boot + Kafka",Svelte,Fireworks AI API,—,MiniMax-M2.7,2026,2576.0,5,117.7,24600.0,136,1.33,5015,10.0
HealthTech AI,Series A,Idea / Concept,"Node.js, NestJS",React Native,Fireworks AI API,—,GLM 5.1,2024,58859.0,14,475.1,368000.0,470,150.5,241,10.0
Cybersecurity AI,Seed,MVP,"Java, Spring Boot",React Native,Fireworks AI API,—,DeepSeek V4 Pro,2024,8444.0,5,774.5,57400.0,1,877.91,5855,10.0
Climate & Energy AI,Pre-Seed,Private Beta,"TypeScript, Fastify",Flutter (Dart),Own AMD GPU cluster,ROCm on MI300X cluster,Mistral 7B,2024,693.0,3,22.2,8400.0,1,0.0,4316,6.9
HealthTech AI,Pre-Seed,Public Beta,"Java, Quarkus",React Native,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 8B,2024,150.0,3,0.9,4100.0,2,0.0,1489,5.1
Creative & Media AI,Seed,Launched,"Java, Spring Boot",Next.js,Fireworks AI API,—,GPT-OSS-120B (high),2024,10462.0,8,107.8,55200.0,104,63.61,3445,10.0
Climate & Energy AI,Seed,Public Beta,"Node.js, GraphQL",React Native,Own AMD GPU cluster,AMD Instinct MI250,Mixtral 8x7B,2025,6541.0,3,1494.7,42200.0,26,0.0,723,10.0
Robotics & Vision AI,Bootstrapped,Public Beta,"Node.js, GraphQL",React Native,Fireworks AI API,—,Kimi K2.5,2025,1.0,3,0.0,4000.0,103,66.57,693,10.0
Developer Tools,Pre-Seed,Prototype,"Java, Micronaut",Svelte,Fireworks AI API,—,Kimi K2.6,2024,607.0,3,56.3,3600.0,32,89.95,1448,9.3
Logistics & Supply Chain AI,Bootstrapped,MVP,"Java, Micronaut",Svelte,Fireworks AI API,—,Kimi K2.5,2025,67.0,3,0.3,4800.0,17,23.82,3541,5.6
Gaming AI,Seed,Private Beta,"Java, Spring Boot + Kafka",React,Fireworks AI API,—,GPT-OSS-120B (high),2026,19033.0,6,1517.3,114500.0,62,0.86,437,10.0
HealthTech AI,Series A,MVP,"TypeScript, Fastify",React Native,Fireworks AI API,—,Kimi K2.6,2025,33429.0,8,1235.8,180900.0,142,608.71,2147,10.0
Logistics & Supply Chain AI,Bootstrapped,MVP,"Node.js, Express",Next.js,Own AMD GPU cluster,AMD Instinct MI325X,SDXL Turbo,2024,111.0,3,11.4,4900.0,192,0.0,4550,10.0
Gaming AI,Seed,Prototype,"Node.js, GraphQL",React,Own AMD GPU cluster,ROCm on MI300X cluster,Whisper Large v3,2025,19523.0,9,503.0,63700.0,23,0.0,2772,10.0
Logistics & Supply Chain AI,Bootstrapped,MVP,"Node.js, Express",Svelte,Fireworks AI API,—,GLM 5.1,2026,123.0,1,2.7,6000.0,7,1.28,1088,3.5
EdTech AI,Seed,Prototype,"Node.js, Express",Flutter (Dart),Fireworks AI API,—,Kimi K2.6,2025,4188.0,4,1.4,40900.0,25,18.5,1637,9.7
E-commerce AI,Angel,Idea / Concept,"Java, Spring Boot + Kafka",Next.js,Own AMD GPU cluster,ROCm on MI250 cluster,CodeLlama 34B,2024,1824.0,5,13.4,12000.0,78,0.0,7891,10.0
Gaming AI,Pre-Seed,Prototype,"Node.js, NestJS",React Native,Own AMD GPU cluster,AMD Instinct MI300X,Llama 3.1 8B,2025,923.0,4,66.3,6400.0,104,0.0,9063,9.8
Cybersecurity AI,Angel,MVP,"Java, Micronaut",Vue,Own AMD GPU cluster,AMD Instinct MI250,SDXL Turbo,2024,1741.0,5,70.6,14100.0,34,0.0,2004,9.7
Legal & Compliance AI,Seed,Public Beta,"TypeScript, Fastify",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Whisper Large v3,2025,14288.0,5,447.5,62700.0,66,0.0,1287,10.0
Gaming AI,Pre-Seed,Launched,"Java, Spring Boot + Kafka",Next.js,Own AMD GPU cluster,AMD Instinct MI300X,Gemma 2 9B,2023,203.0,2,1.3,3500.0,16,0.0,1095,6.0
Developer Tools,Bootstrapped,MVP,"Java, Micronaut",Vue,Own AMD GPU cluster,AMD Instinct MI325X,Qwen2.5 32B,2025,80.0,3,0.9,5200.0,17,0.0,1474,7.2
Robotics & Vision AI,Seed,Idea / Concept,"TypeScript, Fastify",Next.js,Fireworks AI API,—,DeepSeek V4 Pro,2023,3847.0,9,294.7,25000.0,99,1318.81,1993,10.0
Developer Tools,Bootstrapped,Private Beta,"Node.js, GraphQL",Vue,Own AMD GPU cluster,AMD Instinct MI300X,Whisper Large v3,2024,69.0,3,5.1,700.0,31,0.0,4322,7.6
Robotics & Vision AI,Bootstrapped,MVP,"Node.js, Express",Svelte,Fireworks AI API,—,GPT-OSS-120B (high),2024,140.0,2,8.7,5300.0,10,3.42,1615,6.0
Logistics & Supply Chain AI,Pre-Seed,Public Beta,"Node.js, NestJS",Next.js,Fireworks AI API,—,DeepSeek V4 Flash,2026,282.0,3,16.8,2600.0,28,0.88,2899,4.7
Voice & Audio AI,Bootstrapped,Private Beta,"Java, Micronaut",Vue,Own AMD GPU cluster,ROCm on MI250 cluster,Llama 3.1 70B,2024,117.0,2,4.3,4800.0,48,0.0,624,5.5
Creative & Media AI,Bootstrapped,Private Beta,"TypeScript, Fastify",Svelte,Fireworks AI API,—,DeepSeek V4 Pro,2025,112.0,3,16.6,1200.0,14,145.81,1414,8.8
HealthTech AI,Bootstrapped,Idea / Concept,"Java, Quarkus",React Native,Fireworks AI API,—,GPT-OSS-120B (high),2023,49.0,3,2.4,5200.0,72,70.64,1798,9.8
Gaming AI,Angel,Prototype,"Java, Micronaut",React,Fireworks AI API,—,GLM 5.1,2025,866.0,5,4.9,5900.0,0,7.8,1356,4.7
Robotics & Vision AI,Seed,Public Beta,"Node.js, Express",Flutter (Dart),Fireworks AI API,—,DeepSeek V4 Flash,2025,1766.0,5,78.4,18100.0,107,23.08,309,10.0
FinTech AI,Bootstrapped,Prototype,"Node.js, Express",React,Fireworks AI API,—,Kimi K2.5,2024,44.0,1,0.7,1000.0,68,49.09,1042,7.1
Gaming AI,Series A,Private Beta,"Java, Spring Boot",React,Own AMD GPU cluster,AMD Instinct MI250,Llama 3.1 70B,2025,25665.0,6,373.8,214700.0,55,0.0,2239,10.0
Logistics & Supply Chain AI,Seed,Private Beta,"Node.js, NestJS",React,Fireworks AI API,—,Kimi K2.5,2025,6530.0,6,13.4,30400.0,88,73.05,1217,10.0
Developer Tools,Bootstrapped,Private Beta,"TypeScript, Fastify",Svelte,Fireworks AI API,—,Kimi K2.6,2025,1.0,1,0.0,500.0,123,162.21,3153,10.0
Logistics & Supply Chain AI,Seed,Prototype,"Java, Quarkus",Flutter (Dart),Fireworks AI API,—,GLM 5.1,2024,10283.0,8,335.1,66100.0,28,262.9,74,10.0
